country,year,total_consumption,energy_consumption_per_capita,happiness_score,average_pm25_concentration,aqi_pm25_concentration,aqi_pm25_category,gdp,gdp_per_capita,unemployed_rate,cpi,hdi
Japan,2019,12913.366,0.0001026567575852,5.886,10.107066666666666,52.87628390367554,MODERATE,4830000000000.0,38396.81606923447,2.351,0.468776159,0.918
South Korea,2019,9046.932,0.0001746382777243,5.895,23.95654545454545,78.67949533356376,MODERATE,2020000000000.0,38993.25439863213,3.746,0.383000304,0.922
Malaysia,2019,4584.617,0.0001397577626452,5.339,20.966625,73.1089211026616,MODERATE,829000000000.0,25271.289888094216,3.26,0.662891866,0.805
Netherlands,2019,4135.088,0.0002381515913486,7.488,6.788410256410256,37.71339031339031,GOOD,835000000000.0,48090.047606267486,3.38,2.633699102,0.941
Pakistan,2019,4091.404,1.83230055109585e-05,5.653,71.85725,162.4664556509299,UNHEALTHY,1170000000000.0,5239.74568334524,4.83,10.5783618,0.537
Poland,2019,4476.352999999999,0.000116288240123,6.182,8.33984693877551,46.332482993197274,GOOD,1120000000000.0,29095.74578631253,3.277,2.227478809,0.88
Thailand,2019,5084.39,7.130204944852572e-05,6.008,23.215,77.29790874524716,MODERATE,1150000000000.0,16127.275221964595,0.716,0.706728601,0.801
Turkey,2019,6068.828,7.269651758838418e-05,5.373,10.258387283236994,53.158212048616456,MODERATE,1990000000000.0,23837.563035380885,13.73,15.17682157,0.842
United States,2019,57651.207,0.0001724433542171,6.892,6.493157407407407,36.07309670781893,GOOD,18500000000000.0,55336.25779972032,3.669,1.812210075,0.933
Vietnam,2019,4614.277999999999,4.817745257323095e-05,5.175,39.356,110.49467336683418,UNHEALTHY FOR SENSITIVE,732000000000.0,7642.776461150598,1.681,2.795823675,0.717
Canada,2020,10838.62,0.000286064680386,7.23210001,5.701185792349727,31.673254401942927,GOOD,1620000000000.0,42756.80688365588,9.657,0.716999632,0.928
China,2020,90849.856,6.375742616236913e-05,5.123899937,33.63184115523466,96.70571165804176,MODERATE,24200000000000.0,16983.29288633471,5.0,2.419421895,0.781
Germany,2020,9635.246,0.0001156289758071,7.075799942,4.822683706070287,26.79268725594604,GOOD,3740000000000.0,44882.33819029037,3.856,0.144877926,0.948
Spain,2020,5190.836000000002,0.0001095949886461,6.400899887,4.987776073619632,27.709867075664622,GOOD,1460000000000.0,30825.22418805515,15.532,-0.322753017,0.894
France,2020,7261.577,0.0001126174184847,6.663799763,4.166601328903655,23.14778516057586,GOOD,2440000000000.0,37841.16054993256,8.01,0.476498853,0.9
United Kingdom,2020,6355.418,9.477286072279244e-05,7.164500237,4.6366288659793815,25.759049255441006,GOOD,2330000000000.0,34745.27804215339,4.472,0.989486704,0.92
Indonesia,2020,6568.592000000001,2.4161850622713367e-05,5.285600185,15.773333333333332,63.43320659062104,MODERATE,3200000000000.0,11770.851651721216,4.255,1.920968006,0.712
India,2020,20536.565,1.4706928624443752e-05,3.573299885,17.76578,67.14536958174905,MODERATE,8950000000000.0,6409.397637276321,7.859,6.623436776,0.638
Italy,2020,5654.891000000001,9.503926482997412e-05,6.38740015,7.832833718244804,43.5157428791378,GOOD,1930000000000.0,32436.660781233444,9.164,-0.137707574,0.892
Netherlands,2020,4100.507,0.0002351941505613,7.448900223,5.723025641025641,31.794586894586896,GOOD,803000000000.0,46057.93939647007,3.819,1.272460378,0.938
Pakistan,2020,4090.516000000001,1.800429034332606e-05,5.69329977,32.294,94.21315589353611,MODERATE,1200000000000.0,5281.766019737185,6.162,9.739993139,0.536
Poland,2020,4389.174,0.0001142170284202,6.186299801,7.938995145631068,44.10552858683927,GOOD,1100000000000.0,28624.686845925906,3.162,3.374469726,0.874
Turkey,2020,6003.285000000001,7.135263773293516e-05,5.131800175,11.506477777777778,55.48355175327419,MODERATE,2030000000000.0,24127.76581452628,13.148,12.27895745,0.835
United States,2020,53855.538,0.0001603120045573,6.939599991,6.744561728395062,37.469787379972566,GOOD,18000000000000.0,53580.675065068375,8.055,1.233584396,0.923
Vietnam,2020,4652.0830000000005,4.8133952786525385e-05,5.353499889,23.348,77.54570342205324,MODERATE,753000000000.0,7791.104855234443,2.103,3.220934367,0.726
United Arab Emirates,2021,4470.781,0.0004773849300208,6.561,33.11,95.73346007604562,MODERATE,726000000000.0,77521.45748028142,3.105,-0.013859944,0.931
Germany,2021,9786.004,0.000117326135351,7.155,5.911117088607595,32.8395393811533,GOOD,3840000000000.0,46038.44017928136,3.638,3.066666667,0.948
Spain,2021,5436.659,0.0001144874762597,6.491,5.324534534534535,29.580747414080747,GOOD,1540000000000.0,32429.974629651795,14.781,3.09313512,0.904
France,2021,7561.744999999999,0.0001171792239963,6.69,4.857710884353741,26.98728269085412,GOOD,2600000000000.0,40290.43327836065,7.874,1.64233141,0.906
Indonesia,2021,6688.086,2.4431080224440423e-05,5.345,18.667333333333332,68.82506970849175,MODERATE,3320000000000.0,12127.712823241538,3.827,1.560129905,0.707
Italy,2021,5886.828,9.937195494637304e-05,6.483,7.3730917225950785,40.961620681083765,GOOD,2060000000000.0,34773.60425504676,9.497,1.873783258,0.899
Saudi Arabia,2021,7982.646,0.0002220461215503,6.494,3.507692307692308,19.48717948717949,GOOD,1680000000000.0,46731.05687069483,6.621,3.063289889,0.867
Thailand,2021,4894.876000000001,6.836313585332429e-05,5.985,20.66884782608696,72.554127128451,MODERATE,1100000000000.0,15362.891611280183,1.215,1.230395413,0.797
United States,2021,56660.668000000005,0.0001681337274203,6.951,6.9389567901234575,38.54975994513032,GOOD,19100000000000.0,56676.956115822206,5.349,4.697858864,0.921
Saudi Arabia,2022,2022.0,5.553598764958736e-05,6.523,14.930769230769233,61.863410353904655,MODERATE,1820000000000.0,49987.882058481206,5.589,2.474073719,0.875
