country,human_development_index,year,cpi,unemployed_rate,gdp,gdp_per_capita,happiness_score,total_consumption
Pakistan,0.537,2019,10.5783618,4.83,1170000000000.0,5239.74568334524,5.653,2072.4039999999995
Philippines,0.714,2019,2.392065344,2.237,986000000000.0,8932.712935583,5.631,1195.949
Poland,0.88,2019,2.227478809,3.277,1120000000000.0,29095.74578631253,6.182,2457.353
Russia,0.839,2019,4.470366608,4.496,3710000000000.0,25455.89238999733,5.648,17258.856000000003
Saudi Arabia,0.862,2019,-2.093333333,5.636,1690000000000.0,47170.64866954767,6.375,5934.199
Thailand,0.801,2019,0.706728601,0.716,1150000000000.0,16127.275221964595,6.008,3065.39
Turkey,0.842,2019,15.17682157,13.73,1990000000000.0,23837.563035380885,5.373,4049.828
United States,0.933,2019,1.812210075,3.669,18500000000000.0,55336.25779972032,6.892,55632.207
Vietnam,0.717,2019,2.795823675,1.681,732000000000.0,7642.776461150598,5.175,2595.278
United Arab Emirates,0.93,2020,-2.079403179,4.294,699000000000.0,75264.18374539127,6.790800095,2391.6320000000005
Australia,0.948,2020,0.846905537,6.456,1230000000000.0,47915.75802027982,7.222799778,3342.211
Bangladesh,0.657,2020,5.691074747,5.828,754000000000.0,4503.618137525255,4.832799911,917.654
Brazil,0.758,2020,3.211768038,13.697,2950000000000.0,13837.01285928484,6.375599861,8441.567
Canada,0.928,2020,0.716999632,9.657,1620000000000.0,42756.80688365588,7.23210001,8818.62
China,0.781,2020,2.419421895,5.0,24200000000000.0,16983.29288633471,5.123899937,88829.85600000001
Germany,0.948,2020,0.144877926,3.856,3740000000000.0,44882.33819029037,7.075799942,7615.246000000001
Egypt,0.729,2020,5.04493289,7.974,1310000000000.0,12190.000834503264,4.151400089,2042.714
Spain,0.894,2020,-0.322753017,15.532,1460000000000.0,30825.22418805515,6.400899887,3170.836
France,0.9,2020,0.476498853,8.01,2440000000000.0,37841.16054993256,6.663799763,5241.576999999999
United Kingdom,0.92,2020,0.989486704,4.472,2330000000000.0,34745.27804215339,7.164500237,4335.418
Indonesia,0.712,2020,1.920968006,4.255,3200000000000.0,11770.851651721216,5.285600185,4548.592
India,0.638,2020,6.623436776,7.859,8950000000000.0,6409.397637276321,3.573299885,18516.565
Iran,0.779,2020,30.59413904,9.687,1450000000000.0,16611.259143524396,4.672399998,6841.412
Italy,0.892,2020,-0.137707574,9.164,1930000000000.0,32436.660781233444,6.38740015,3634.891
Japan,0.917,2020,-0.024995834,2.809,4630000000000.0,36967.61445349091,5.870800018,10177.827
South Korea,0.922,2020,0.537288023,3.931,2000000000000.0,38576.758336360326,5.872399807,6815.996
Mexico,0.757,2020,3.396834156,4.441,1880000000000.0,14920.836707188484,6.465000153,4269.696999999999
Malaysia,0.802,2020,-1.138702154,4.54,783000000000.0,23584.345873859955,5.384300232,2483.094
Nigeria,0.539,2020,13.24602343,5.712,1060000000000.0,5088.1447149767255,4.724100113,0.0
Netherlands,0.938,2020,1.272460378,3.819,803000000000.0,46057.93939647007,7.448900223,2080.507
Pakistan,0.536,2020,9.739993139,6.162,1200000000000.0,5281.766019737185,5.69329977,2070.5160000000005
Philippines,0.705,2020,2.393162393,2.522,892000000000.0,7950.7280192854,6.006000042,1089.127
Poland,0.874,2020,3.374469726,3.162,1100000000000.0,28624.686845925906,6.186299801,2369.1739999999995
Russia,0.826,2020,3.381659372,5.589,3610000000000.0,24791.00564185603,5.546000004,16727.946
Saudi Arabia,0.861,2020,3.44545826,7.45,1610000000000.0,44725.81519604297,6.406499863,5772.263
Thailand,0.8,2020,-0.845937147,1.099,1080000000000.0,15110.03801237859,5.998799801,2850.314
Turkey,0.835,2020,12.27895745,13.148,2030000000000.0,24127.76581452628,5.131800175,3983.285
United States,0.923,2020,1.233584396,8.055,18000000000000.0,53580.675065068375,6.939599991,51835.538
Vietnam,0.726,2020,3.220934367,2.103,753000000000.0,7791.104855234443,5.353499889,2632.083
United Arab Emirates,0.931,2021,-0.013859944,3.105,726000000000.0,77521.45748028142,6.561,2449.7810000000004
Australia,0.949,2021,2.863910422,5.116,1300000000000.0,50152.20422409641,7.183,3383.521
Bangladesh,0.662,2021,5.545654308,5.815,807000000000.0,4765.103429315624,5.025,988.173
Brazil,0.756,2021,8.301659756,13.159,3100000000000.0,14463.932327758455,6.33,8745.071999999998
Canada,0.934,2021,3.395193185,7.527,1700000000000.0,44555.09016744642,7.103,8905.054
China,0.785,2021,0.981015136,4.55,26200000000000.0,18374.443762105813,5.339,94225.54600000002
Germany,0.948,2021,3.066666667,3.638,3840000000000.0,46038.44017928136,7.155,7765.004
Egypt,0.726,2021,5.214049405,7.441,1400000000000.0,12813.216327434931,4.283,2181.3
Spain,0.904,2021,3.09313512,14.781,1540000000000.0,32429.974629651795,6.491,3415.659
France,0.906,2021,1.64233141,7.874,2600000000000.0,40290.43327836065,6.69,5540.744999999999
United Kingdom,0.931,2021,2.518371096,4.826,2510000000000.0,37306.20097430123,7.064,4342.483
Indonesia,0.707,2021,1.560129905,3.827,3320000000000.0,12127.712823241538,5.345,4667.086
India,0.633,2021,5.131407472,6.38,9800000000000.0,6962.383712846334,3.819,20079.609000000004
Iran,0.776,2021,43.38901627,9.282,1530000000000.0,17401.504527257308,4.721,6684.853999999999
Italy,0.899,2021,1.873783258,9.497,2060000000000.0,34773.60425504676,6.483,3865.828
Japan,0.92,2021,-0.233352779,2.828,4730000000000.0,37957.660244241255,5.94,10642.591
South Korea,0.926,2021,2.498333333,3.639,2080000000000.0,40131.09284528985,5.845,7155.706999999999
Mexico,0.757,2021,5.689208477,4.019,1970000000000.0,15547.909596971664,6.317,4569.581
Malaysia,0.798,2021,2.477102415,4.64,807000000000.0,24036.54842074813,5.384,2591.909
Nigeria,0.542,2021,16.95284572,5.393,1100000000000.0,5154.607097852737,4.759,0.0
Netherlands,0.941,2021,2.675720088,4.21,842000000000.0,48109.62320451687,7.464,2150.416
Pakistan,0.537,2021,9.496210561,6.338,1280000000000.0,5531.496618319542,4.934,2279.16
Philippines,0.692,2021,3.927180221,3.398,943000000000.0,8280.621862583897,5.88,1157.9930000000004
Poland,0.876,2021,5.055027047,3.363,1170000000000.0,30542.14340690144,6.166,2546.2770000000005
Russia,0.818,2021,6.69445892,4.715,3810000000000.0,26257.25527245686,5.477,17250.01
Saudi Arabia,0.867,2021,3.063289889,6.621,1680000000000.0,46731.05687069483,6.494,5961.646
