country,year,total_consumption,happiness_score,aqi_pm25_concentration,aqi_pm25_category,gdp_per_capita,gdp,unemployed_rate,cpi,human_development_index
Pakistan,2019,2072.4039999999995,5.653,162.4664556509299,UNHEALTHY,5239.74568334524,1170000000000.0,4.83,10.5783618,0.537
Poland,2019,2457.353,6.182,46.332482993197274,GOOD,29095.74578631253,1120000000000.0,3.277,2.227478809,0.88
Saudi Arabia,2019,5934.199,6.375,0.0,GOOD,47170.64866954767,1690000000000.0,5.636,-2.093333333,0.862
South Korea,2019,7027.932000000001,5.895,78.67949533356376,MODERATE,38993.25439863213,2020000000000.0,3.746,0.383000304,0.922
Spain,2019,3449.867,6.354,28.006618655692726,GOOD,35008.52892633807,1650000000000.0,14.104,0.699518994,0.904
Thailand,2019,3065.39,6.008,77.29790874524716,MODERATE,16127.275221964595,1150000000000.0,0.716,0.706728601,0.801
Turkey,2019,4049.828,5.373,53.158212048616456,MODERATE,23837.563035380885,1990000000000.0,13.73,15.17682157,0.842
United Arab Emirates,2019,2428.497,6.825,68.05721673003802,MODERATE,79790.17896882864,735000000000.0,2.331,-1.931081148,0.933
United Kingdom,2019,4753.684,7.054,29.98031746031746,GOOD,39234.09065111519,2620000000000.0,3.737,1.738104601,0.933
United States,2019,55632.207,6.892,36.07309670781893,GOOD,55336.25779972032,18500000000000.0,3.669,1.812210075,0.933
Vietnam,2019,2595.278,5.175,110.49467336683418,UNHEALTHY FOR SENSITIVE,7642.776461150598,732000000000.0,1.681,2.795823675,0.717
Canada,2020,8818.62,7.23210001,31.673254401942927,GOOD,42756.80688365588,1620000000000.0,9.657,0.716999632,0.928
China,2020,88829.85600000001,5.123899937,96.70571165804176,MODERATE,16983.29288633471,24200000000000.0,5.0,2.419421895,0.781
France,2020,5241.576999999999,6.663799763,23.14778516057586,GOOD,37841.16054993256,2440000000000.0,8.01,0.476498853,0.9
Germany,2020,7615.246000000001,7.075799942,26.79268725594604,GOOD,44882.33819029037,3740000000000.0,3.856,0.144877926,0.948
India,2020,18516.565,3.573299885,67.14536958174905,MODERATE,6409.397637276321,8950000000000.0,7.859,6.623436776,0.638
Indonesia,2020,4548.592,5.285600185,63.43320659062104,MODERATE,11770.851651721216,3200000000000.0,4.255,1.920968006,0.712
Italy,2020,3634.891,6.38740015,43.5157428791378,GOOD,32436.660781233444,1930000000000.0,9.164,-0.137707574,0.892
Netherlands,2020,2080.507,7.448900223,31.794586894586896,GOOD,46057.93939647007,803000000000.0,3.819,1.272460378,0.938
Pakistan,2020,2070.5160000000005,5.69329977,94.21315589353611,MODERATE,5281.766019737185,1200000000000.0,6.162,9.739993139,0.536
Poland,2020,2369.1739999999995,6.186299801,44.10552858683927,GOOD,28624.686845925906,1100000000000.0,3.162,3.374469726,0.874
Saudi Arabia,2020,5772.263,6.406499863,0.0,GOOD,44725.81519604297,1610000000000.0,7.45,3.44545826,0.861
Spain,2020,3170.836,6.400899887,27.709867075664622,GOOD,30825.22418805515,1460000000000.0,15.532,-0.322753017,0.894
