Country,Year,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Happiness Score
United States,2020,378.321,2556.181,19936.998,8345.496,742.663,4685.649,2095.404,9035.32,225.994,2590.245,346.779,896.488,51835.538,6.939599991
United States,2021,415.839,2936.894,21170.129,8364.249,651.455,4786.699,2060.685,9868.985,224.519,2726.014,434.585,999.615,54639.668,6.951
United States,2022,437.593,2752.975,21479.43,8795.866,655.104,5024.875,2031.819,9930.587,216.581,2993.056,540.069,1143.709,56001.664,6.977
Vietnam,2015,0.0,305.123,674.768,102.869,151.138,151.705,0.0,266.775,0.223,151.705,0.018,0.326,1804.65,5.36
Vietnam,2016,0.0,330.179,726.664,102.386,171.172,172.114,0.0,294.098,0.389,172.114,0.014,0.538,1969.668,5.061
Vietnam,2017,0.0,329.915,733.304,95.207,228.711,230.328,0.0,308.182,0.664,230.328,0.021,0.931,2157.5910000000003,5.073999882
Vietnam,2018,0.0,439.514,860.56,96.596,219.81,222.714,0.0,324.449,1.558,222.714,0.058,1.288,2389.261,5.103
Vietnam,2019,0.0,580.664,1012.627,98.43,174.283,190.008,0.0,333.533,1.117,190.008,12.7,1.908,2595.278,5.175
Vietnam,2020,0.0,609.741,981.098,88.394,191.37,223.296,0.0,282.963,1.085,223.296,28.261,2.579,2632.083,5.353499889
Vietnam,2021,0.0,579.233,924.5,71.989,205.862,284.054,0.0,273.278,1.022,284.054,68.429,8.742,2701.1630000000005,5.411
Vietnam,2022,0.0,528.115,901.975,77.972,250.05,342.092,0.0,295.888,1.207,342.092,67.134,23.701,2830.226,5.485
