Country,Human Development Index,Year,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Philippines,0.706,2018,108568832.0,5.735,190.139,482.713,40.888,24.875,66.985,0.0,251.686,30.02,66.985,3.305,3.05,3184.3810000000003,2.933052646269604e-05
Philippines,0.714,2019,110380800.0,6.108,203.311,502.417,42.16,21.203,63.705,0.0,256.946,30.363,63.705,3.285,2.746,3214.948999999999,2.9125980242940797e-05
Philippines,0.705,2020,112190984.0,5.175,204.062,452.132,38.428,19.012,61.621,0.0,209.641,31.134,61.621,3.605,2.696,3109.1270000000004,2.771280622692462e-05
Philippines,0.692,2021,113880336.0,5.802,219.963,478.537,32.831,24.163,66.973,0.0,225.743,29.765,66.973,3.861,3.382,3178.9929999999995,2.7915205659386174e-05
Philippines,0.71,2022,115559008.0,6.318,221.846,500.459,30.804,26.405,70.535,0.0,247.81,30.301,70.535,4.767,2.745,3234.524999999999,2.799024546835846e-05
Poland,0.869,2015,38553148.0,7.568,566.047,1030.028,170.988,4.934,72.985,0.0,292.993,31.089,72.985,0.153,29.24,4294.01,0.0001113789722177
Poland,0.872,2016,38532108.0,5.255,575.669,1079.833,182.576,5.726,70.412,0.0,321.587,25.4,70.412,0.332,33.699,4386.901,0.0001138505321328
Poland,0.874,2017,38532816.0,7.019,578.879,1133.63,191.803,6.813,74.659,0.0,362.947,20.711,74.659,0.439,39.677,4508.236,0.0001169973147044
Poland,0.876,2018,38521464.0,10.587,579.175,1150.725,199.261,5.212,71.358,0.0,372.289,20.903,71.358,0.794,33.863,4533.525000000001,0.0001176882841212
Poland,0.88,2019,38493600.0,11.435,516.078,1104.451,208.888,5.162,82.817,0.0,379.485,24.526,82.817,1.873,39.821,4476.352999999999,0.000116288240123
Poland,0.874,2020,38428368.0,11.849,478.409,1048.529,210.646,5.563,90.705,0.0,359.475,26.656,90.705,5.142,41.495,4389.174,0.0001142170284202
Poland,0.876,2021,38307724.0,12.134,529.151,1127.997,223.738,6.121,96.761,0.0,375.108,25.733,96.761,10.295,42.478,4567.277000000001,0.0001192260077889
