Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Malaysia,2.104389802,2015,3.1,6.85E+11,22047.81808,31068834,4.521,202.296,1069.424,468.398,37.497,45.151,0,398.729,2.397,45.151,0.735,0,4289.299,0.000138058
Malaysia,2.090566595,2016,3.44,7.16E+11,22711.11456,31526414,4.521,217.847,1110.921,449.93,53.605,61.382,0,443.145,2.426,61.382,0.83,0,4421.989,0.000140263
Malaysia,3.871201158,2017,3.41,7.57E+11,23674.14469,31975812,4.405,241.405,1109.307,450.442,71.445,79.17,0,417.461,2.442,79.17,0.878,0,4473.125,0.000139891
Malaysia,0.884709161,2018,3.3,7.94E+11,24506.725,32399270,5.067,258.943,1128.875,446.778,69.649,80.701,0,423.154,4.313,80.701,1.672,0,4517.853,0.000139443
Malaysia,0.662891866,2019,3.26,8.29E+11,25271.28989,32804024,7.531,244.729,1156.726,452.151,69.052,84.055,0,459.846,3.626,84.055,3.846,0,4584.617,0.000139758
Malaysia,-1.138702154,2020,4.54,7.83E+11,23584.34587,33199988,9.193,288.092,1106.194,436.137,71.695,90.235,0,381.966,3.939,90.235,5.408,0,4503.094,0.000135635
Malaysia,2.477102415,2021,4.64,8.07E+11,24036.54842,33573872,9.612,266.346,1148.04,513.517,79.03,98.61,0,368.176,3.939,98.61,6.029,0,4612.909,0.000137396
Malaysia,3.378698625,2022,3.93,8.78E+11,25870.54075,33938216,10.354,263.048,1226.946,519.453,82.865,104.333,0,444.445,3.939,104.333,7.175,0,4788.891,0.000141106
Mexico,2.72064065,2015,4.311,1.92E+12,15980.0388,120149896,1.954,147.65,2043.285,807.829,83.19,162.136,29.917,1087.805,22.981,132.219,0.545,23.55,6558.061,5.46E-05
Mexico,2.821707847,2016,3.853,1.96E+12,16129.13526,121519224,2.07,144.633,2092.615,830.3,80.395,160.783,27.146,1117.681,22.714,133.637,0.675,27.783,6656.432,5.48E-05
Mexico,6.04145724,2017,3.419,2.01E+12,16362.84739,122839256,2.187,176.753,2127.736,860.335,82.175,165.528,27.792,1090.648,21.955,137.736,3.158,28.262,6741.265,5.49E-05
