Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,total_consumption,Energy Consumption Per Capita,Happiness Score
Netherlands,2.675720088,2021,4.21,8.42E+11,48109.6232,17501696,4171.416,0.000238344,7.464
Netherlands,10.00120788,2022,3.524,8.8E+11,50102.4253,17564020,4075.949,0.000232062,7.415
Nigeria,9.00943498,2015,4.137,1.04E+12,5652.30367,183995776,2015,1.10E-05,5.268
Nigeria,15.69681264,2016,4.498,1.03E+12,5459.356396,188666928,2016,1.07E-05,4.875
Nigeria,16.50226621,2017,4.826,1.04E+12,5374.790776,193495904,2017,1.04E-05,5.073999882
Nigeria,12.09510652,2018,5.065,1.06E+12,5343.075447,198387616,2018,1.02E-05,5.155
Nigeria,11.39642234,2019,5.206,1.08E+12,5312.228806,203304496,2019,9.93E-06,5.265
Nigeria,13.24602343,2020,5.712,1.06E+12,5088.144715,208327408,2020,9.70E-06,4.724100113
Nigeria,16.95284572,2021,5.393,1.1E+12,5154.607098,213401328,2021,9.47E-06,4.759
Nigeria,18.84718778,2022,3.827,1.13E+12,5170.649366,218541216,2022,9.25E-06,4.552
Pakistan,2.529328173,2015,3.566,1.01E+12,4787.426508,210969296,3737.887,1.77E-05,5.194
Pakistan,3.765119164,2016,2.286,1.06E+12,4964.29343,213524848,3198.324,1.50E-05,5.132
Pakistan,4.08537368,2017,3.193,1.12E+12,5176.08754,216379648,3989.256,1.84E-05,5.269000053
Pakistan,5.078057259,2018,4.083,1.17E+12,5324.680639,219731488,4050.749,1.84E-05,5.472
Pakistan,10.5783618,2019,4.83,1.17E+12,5239.745683,223293280,4091.404,1.83E-05,5.653
Pakistan,9.739993139,2020,6.162,1.2E+12,5281.76602,227196736,4090.516,1.80E-05,5.69329977
Pakistan,9.496210561,2021,6.338,1.28E+12,5531.496618,231402112,4300.16,1.86E-05,4.934
Pakistan,19.87385996,2022,5.548,1.32E+12,5597.37416,235824864,4126.742,1.75E-05,4.516
Philippines,0.674192537,2015,3.068,7.63E+11,7405.512263,103031360,2962.758,2.88E-05,5.073
Philippines,1.253698801,2016,2.695,8.17E+11,7790.206256,104875272,3048.387,2.91E-05,5.279
Philippines,2.853187726,2017,2.552,8.74E+11,8188.236042,106738496,3147.444,2.95E-05,5.429999828
Philippines,5.309346616,2018,2.338,9.29E+11,8556.78359,108568832,3184.381,2.93E-05,5.524
Philippines,2.392065344,2019,2.237,9.86E+11,8932.712936,110380800,3214.949,2.91E-05,5.631
Philippines,2.393162393,2020,2.522,8.92E+11,7950.728019,112190984,3109.127,2.77E-05,6.006000042
Philippines,3.927180221,2021,3.398,9.43E+11,8280.621863,113880336,3178.993,2.79E-05,5.88
Philippines,5.821158112,2022,2.598,1.01E+12,8740.123487,115559008,3234.525,2.80E-05,5.904
Poland,-0.874125874,2015,7.501,9.36E+11,24278.17308,38553148,4294.01,0.000111379,5.791
